,music,hastag_data,author_follower,author_heart,play
371,suara asli - Teriana Akbar Yuloh,antigaptek,976100,18900000,82200
372,Kamu dan Kenangan - Original Soundtrack Habibie & Ainun 3,antigaptek,493800,15300000,1600000
373,"Bubblegum K.K. (From ""Animal Crossing: New Leaf"")",antigaptek,699800,18700000,79400
374,Future,antigaptek,67600,2400000,25100
375,original sound - GadgetEmpireID,antigaptek,13100,149600,15600
376,Lazy Sunday,antigaptek,63200,623300,6068
377,Wolfgang Dance,antigaptek,900400,14200000,37000
378,Funk it up,antigaptek,146800,779500,57800
379,original sound - FenFen | Lifehacks + Business,antigaptek,67600,2400000,21600
380,ONLY,antigaptek,144100,3200000,87300
381,MONEY,antigaptek,327900,9800000,25100
382,Sesange Sori Jillo I Love You (Making Lover),antigaptek,340600,9900000,30900
383,Pure Imagination cover by Angelo Javier,antigaptek,340600,9900000,77100
384,original sound - YANGCANGGIH.COM,antigaptek,23800,279700,13100
385,Wolfgang Dance,antigaptek,397500,6600000,2600000
386,suara asli - Tadinya Kang Hape,antigaptek,176300,3100000,5300000
387,MONEY,antigaptek,144100,3200000,20900
388,original sound - Akmal Riadi,antigaptek,397500,6600000,119900
389,Monkeys Spinning Monkeys,antigaptek,176300,3100000,4900000
390,Canon in D Keroncong Version,antigaptek,536900,8100000,781100
391,Lazy Sunday,antigaptek,102400,876100,12200
392,Simplicity,antigaptek,102000,709900,312400
393,BORN FOR THIS,antigaptek,44600,334500,2739
394,original sound - Bimo Tyasono | Life Tips,antigaptek,169200,5600000,2931
395,suara asli - PapaLouise,antigaptek,644100,10100000,408000
396,Only Me Remix,antigaptek,169200,5600000,27200
397,Monkeys Spinning Monkeys,antigaptek,101900,1400000,105500
398,STAY,antigaptek,493800,15300000,44300
399,Nothing On You,antigaptek,340600,9900000,73500
400,suara asli - arrinish,antigaptek,41000,792600,277600
401,Lazy Sunday,antigaptek,63200,623300,14300
